name,long,lat
Keat Hong Zone '3' RN,103.738115487874,1.37961820477491
Keat Hong Zone '4' RN,103.73482201117,1.37898637690977
Keat Hong Zone '5' RN,103.740252439191,1.37817045260293
Keat Hong Zone '6' RN,103.743072731291,1.37925042924038
Boon Lay Zone 'F' RN,103.702315285031,1.34446132877907
Boon Lay Zone 'G' RN,103.714301455412,1.34278860897021
Boon Lay Zone 'H' RN,103.702203678914,1.34187729614084
Admiralty Zone '10' RN,103.79777025669,1.43084071900923
Admiralty Zone '5' RN,103.804264117163,1.44075549001826
Admiralty Zone '6' RN,103.807433139131,1.44268597858008
Admiralty Zone '7' RN,103.79861962258,1.4343561717045
Boon Lay Zone 'J' RN,103.698796962748,1.34152011490194
Boon Lay View RN,103.712084218959,1.35085258962124
